,name,categories,address,city,postal_code,province,country,latitude,longitude,websites
0,SONIC Drive In,American Restaurant and Fast Food Restaurant,800 N Canal Blvd,Thibodaux,70301,LA,US,29.814697,-90.814742,"https://locations.sonicdrivein.com/la/thibodaux/800-north-canal-boulevard.html,http://sonicdrivein.com,http://www.sonicdrivein.com"
1,Taco Bell,Fast Food Restaurant,206 Wears Valley Rd,Pigeon Forge,37863,TN,US,35.803788,-83.580553,"http://www.tacobell.com,https://locations.tacobell.com/tn/pigeon-forge/206-wears-valley-road.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=026432andutm_content=website"
2,Arby's,Fast Food,3652 Parkway,Pigeon Forge,37863,TN,US,35.782339,-83.551408,"http://www.arbys.com,https://locations.arbys.com/us/tn/pigeon-forge/3652-parkway.html"
3,Steak 'n Shake,Fast Food Restaurant,2118 Mt Zion Parkway,Morrow,30260,GA,US,33.562738,-84.321143,http://www.steaknshake.com/locations/23851-steak-n-shake-mt-zion-parkway-morrow
4,Wendy's,Fast Food Restaurant,9768 Grand River Ave,Detroit,48204,MI,US,42.368823,-83.138251,http://www.wendys.com
5,Burger King,Fast Food Restaurant,13600 W McNichols Rd,Detroit,48235,MI,US,42.416819,-83.180444,"http://bk.com,http://www.bk.com"
6,Chipotle Mexican Grill,Fast Food,4111 Oceanside Blvd,Oceanside,92056,CA,US,33.205722,-117.288645,"http://www.chipotle.com,http://www.lasalsa.com"
7,7-Eleven,Fast Food Restaurants,162 Old Country Rd,Riverhead,11901,NY,US,40.937359,-72.650142,"http://www.7-eleven.com/?yext=39326,http://www.7-eleven.com"
8,Dairy Queen,Fast Food Restaurant,1407 S Stockton Ave,Monahans,79756,TX,US,31.580721,-102.891455,"http://www.dairyqueen.com,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJqRG97esP_MxDChA8jm1fugloTMDPF7zOe73z7Rzg5g9Epb5tslb4Ce2O9bVs-3osjI7W1LXK0P8-ceZJLb_Zm0NuJ46OZRPXqASUtjZowHbqYHz_KHREl3SRL-RlGbE5woot3O2zSqAWVHg-OlWhMHHJ9TR1jaOXMbzQAnUcZehcpq17Fx8TdD5LnknOH2OhntcYkp-Hmhc2uj_O6yVorIqEVf5Z62kWufiQ_mpIyS3EC2lcbYW-Qo4k6KLlDUXBhz61tD0Ed-XxpaLD24rGhItu5TjcLVVa3Tx4vbMdbUZcI1ZgYjFCwkqBDsIe7zQCbZJ1aOHgTBcCkHjLqSMEJ-VSSeMC2Y1vDdmeULpiA18&placement=listing_profile&cs_user=unknown&cs_session=9e084e19d8cf38f4a2ac131f1e6b96b494a6e801"
9,Dairy Queen,Fast Food Restaurant and Ice Cream Shop,208 W Mason St,Mabank,75147,TX,US,32.36602,-96.103364,http://dairyqueen.com
10,Dairy Queen,Ice Cream Shop and Fast Food Restaurant,5801 Highway 6,Missouri City,77459,TX,US,29.570079,-95.568166,http://www.dairyqueen.com
11,Mr. Hero,Fast Food Restaurant,3454 Manchester Rd,Akron,44319,OH,US,41.005682,-81.555774,http://mrhero.com
12,Golden Chick,Fast Food Restaurants,1500 E Main St,Eastland,76448,TX,US,32.401088,-98.790162,"http://locations.goldenchick.com/tx/eastland/1202,http://goldenchick.com"
13,Carl's Jr,Fast Food Restaurant,1190 W Foothill Blvd,Azusa,91702,CA,US,34.133291,-117.924566,"http://www.carlsjr.com,http://www.carlsjr.com/"
14,Checkers,Fast Food Restaurants,601 N Main St,Summerville,29483,SC,US,33.026572,-80.169733,"https://locations.checkers.com/sc/summerville/601-n.-main-st.,https://www.checkers.com,http://www.checkers.com"
15,Rally's,Fast Food,1927 Woodville Road,Oregon,43616,OH,US,41.627298,-83.502436,http://rallys.com/
16,Togo's,Fast Food,6316 W 89th St,Los Angeles,90045,CA,US,33.955923,-118.396443,http://www.togosspeedlunch.com/
17,Rally's,Fast Food Restaurants,3105 Highway 80 E,Pearl,39208,MS,US,32.282328,-90.11677,https://locations.rallys.com/ms/pearl/3105-highway-80-e-%C2%A0
18,Checkers,Fast Food Restaurant,2860 E Paris Ave SE,Grand Rapids,49512,MI,US,42.91147,-85.56812,"https://locations.checkers.com/mi/kentwood/2860-e-paris-ave-se,https://www.checkers.com,https://www.checkers.com/,http://www.checkers.com"
19,Rally's,Fast Food Restaurant,2424 E State Road 44,Shelbyville,46176,IN,US,39.523704,-85.743659,"https://locations.rallys.com/in/shelbyville/2424-e.-state-road-44,http://www.checkers.com,http://rallys.com,http://checkers.com"
20,Checkers,Fast Food,1611 Broadway,Brooklyn,11207,NY,US,40.685506,-73.914457,"https://locations.checkers.com/ny/brooklyn/1611-broadway,http://checkers.com,http://www.checkers.com"
21,Checkers,Fast Food Restaurants,1720 Walton Way,Augusta,30904,GA,US,33.475292,-81.995946,"https://locations.checkers.com/ga/augusta/1720-walton-way,https://www.checkers.com"
22,Checkers,Fast Food Restaurant,17620 Grand River Ave,Detroit,48227,MI,US,42.400037,-83.21574,https://locations.checkers.com/mi/detroit/17620-grand-river-ave
23,Little Q Hot Pot,Fast Food Restaurants,196 Massachusetts Ave,Arlington,2474,MA,US,42.405651,-71.14212,http://littleqhotpotma.com
24,McDonald's,Fast Food,1224 State St,Schenectady,12304,NY,US,42.79792,-73.924364,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
25,McDonald's,Fast Food Restaurant,1232 Ulster Ave,Kingston,12401,NY,US,41.967079,-73.988583,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
26,McDonald's,Fast Food Restaurant,1188 Avenue of The Americas,New York,10036,NY,US,40.757558,-73.981671,http://mcdonalds.com/
27,McDonald's,Fast Food Restaurant,114 Delancey St,New York,10002,NY,US,40.718943,-73.988306,http://mcdonalds.com
28,McDonald's,Fast Food Restaurants,1050 Front St,Uniondale,11553,NY,US,40.709646,-73.591453,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
29,McDonald's,Fast Food Restaurant,105 Jericho Tpke,Jericho,11753,NY,US,40.780233,-73.55934,"http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4ESe32aGoZZfGxPUKOAupg6AXFQsvl2-A1Ztd21x5FLKumNpUzGNTBeMk2RvPjC41ZIvgiFwjULRMf936HQ-3fDilu-Jgq-3DroFPqeb7LaXUO4XtGt4yXSJsg9W4tlLVRNocJRkydaRxa9wTgFisP8W1xHayi-pt4RT9UEBPO-64wX56BjzHLd30Vtc-E6tRn5Qu0eRc_DBQJlwYp8xTFBgQya-MzslAXqjYZJM60OQr_B_qw5j5R4po2lD4Bp7jBUJxb4mT_1yq0HrpM06V32safH8oc3ObTxX9_UKu9KEaQ7a5AB3RPweBodwruhmy6MJ1E0Fxm24zDrEGC31jcXkhlbSnNd5qVXz9k4rQUcMgo15OqXI_h7YvMn1AbfZSc1vKFfhUKB4xYwesNPYNLOd-O1d7LqWAuRfdmk9LpXp9Q4zcDWkNf4C7MeEajoEYfZru37-IFNUxi-19j6W-OiKcOftcd_UqL7Hf-CAQngzLDAOT2PALtFvXhDiuE0gq5&placement=listing_profile.c&cs_user=unknown&cs_session=fa3e41570a83c445cc822273e5417e8878250b09,http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
30,McDonald's,Fast Food Restaurants,106 Wolf Rd,Albany,12205,NY,US,42.716812,-73.809319,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
31,McDonald's,Fast Food,101 E 170th St,Bronx,10452,NY,US,40.839569,-73.915927,"http://mcdonalds.com,http://mcdonalds.com/"
32,McDonald's,Fast Food,103 Brookview Dr,Schenectady,12303,NY,US,42.741061,-73.913673,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,http://www.mcdonalds.com"
33,McDonald's,Fast Food Restaurants,1028 Mckinley Pkwy,Buffalo,14220,NY,US,42.857899,-78.825089,"http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,http://mcdonalds.com"
